c1,c2,c3,c4
0.25,0.26,0.255,0.235
0.25,0.26,0.255,0.235
0.2475,0.2625,0.255,0.235
0.245,0.2625,0.255,0.2375
0.245,0.26,0.2575,0.2375
0.245,0.2625,0.255,0.2375
0.245,0.26,0.2575,0.2375
0.2425,0.26,0.2575,0.24
0.245,0.26,0.2575,0.2375
0.2475,0.2575,0.2575,0.2375
0.2475,0.26,0.255,0.2375
0.25,0.26,0.255,0.235
0.25,0.2625,0.255,0.2325
0.2475,0.2625,0.255,0.235
0.245,0.2625,0.255,0.2375
0.2425,0.265,0.255,0.2375
0.24,0.265,0.255,0.24
0.24,0.2625,0.255,0.2425
0.24,0.2625,0.255,0.2425
0.24,0.2625,0.255,0.2425
0.24,0.26,0.2575,0.2425
0.2425,0.26,0.255,0.2425
0.2425,0.2625,0.2525,0.2425
0.245,0.26,0.2525,0.2425
0.245,0.26,0.255,0.24
0.2475,0.26,0.2525,0.24
0.2475,0.26,0.2525,0.24
0.25,0.2575,0.2525,0.24
0.25,0.255,0.2525,0.2425
0.2475,0.2575,0.2525,0.2425
0.25,0.2575,0.25,0.2425
0.25,0.2575,0.25,0.2425
0.25,0.2575,0.25,0.2425
0.25,0.2575,0.25,0.2425
0.25,0.26,0.2475,0.2425
0.2475,0.2625,0.2475,0.2425
0.2475,0.265,0.245,0.2425
0.2475,0.2625,0.245,0.245
0.2475,0.265,0.2425,0.245
0.2475,0.2675,0.2425,0.2425
0.2475,0.27,0.24,0.2425
0.245,0.27,0.2425,0.2425
0.2425,0.2725,0.2425,0.2425
0.24,0.275,0.2425,0.2425
0.2425,0.2725,0.2425,0.2425
0.2425,0.2725,0.2425,0.2425
0.245,0.2725,0.2425,0.24
0.2475,0.2725,0.24,0.24
0.25,0.2725,0.2375,0.24
0.25,0.2725,0.235,0.2425
0.2525,0.2725,0.2325,0.2425
0.2525,0.2725,0.235,0.24
0.2525,0.275,0.2325,0.24
0.2525,0.275,0.235,0.2375
0.25,0.275,0.235,0.24
0.25,0.275,0.235,0.24
0.2475,0.275,0.2375,0.24
0.2475,0.275,0.235,0.2425
0.2475,0.2725,0.235,0.245
0.2475,0.2725,0.235,0.245
0.2475,0.27,0.235,0.2475
0.2475,0.2725,0.2325,0.2475
0.2475,0.27,0.2325,0.25
0.2475,0.27,0.2325,0.25
0.25,0.2675,0.2325,0.25
0.25,0.2675,0.23,0.2525
0.25,0.2675,0.23,0.2525
0.25,0.27,0.2275,0.2525
0.2475,0.27,0.23,0.2525
0.2475,0.27,0.23,0.2525
0.245,0.27,0.23,0.255
0.245,0.2725,0.2275,0.255
0.2475,0.27,0.2275,0.255
0.2475,0.27,0.2275,0.255
0.25,0.2675,0.2275,0.255
0.25,0.2675,0.2275,0.255
0.25,0.27,0.2275,0.2525
0.25,0.27,0.225,0.255
0.25,0.27,0.2225,0.2575
0.25,0.27,0.2225,0.2575
0.2525,0.27,0.22,0.2575
0.2525,0.2675,0.22,0.26
0.2525,0.2675,0.22,0.26
0.25,0.27,0.22,0.26
0.2525,0.27,0.22,0.2575
0.25,0.27,0.2225,0.2575
0.25,0.2725,0.2225,0.255
0.2475,0.2725,0.2225,0.2575
0.2475,0.2725,0.2225,0.2575
0.2475,0.2725,0.2225,0.2575
0.25,0.27,0.2225,0.2575
0.25,0.27,0.225,0.255
0.25,0.27,0.225,0.255
0.2525,0.27,0.2225,0.255
0.25,0.2725,0.2225,0.255
0.2475,0.2725,0.2225,0.2575
0.2475,0.27,0.2225,0.26
0.245,0.27,0.225,0.26
0.245,0.2675,0.225,0.2625
0.245,0.27,0.225,0.26
0.245,0.27,0.225,0.26
0.245,0.2675,0.2275,0.26
0.2425,0.2675,0.23,0.26
0.24,0.2675,0.23,0.2625
0.24,0.265,0.2325,0.2625
0.2375,0.2675,0.2325,0.2625
0.2375,0.27,0.23,0.2625
0.2375,0.27,0.2325,0.26
0.2375,0.27,0.2325,0.26
0.235,0.2725,0.2325,0.26
0.235,0.275,0.2325,0.2575
0.235,0.275,0.235,0.255
0.235,0.275,0.235,0.255
0.235,0.275,0.2375,0.2525
0.235,0.2725,0.2375,0.255
0.235,0.2725,0.2375,0.255
0.235,0.2725,0.2375,0.255
0.235,0.275,0.235,0.255
0.2375,0.2725,0.235,0.255
0.2375,0.2725,0.235,0.255
0.2375,0.275,0.235,0.2525
0.24,0.2725,0.235,0.2525
0.2425,0.2725,0.2325,0.2525
0.24,0.2725,0.235,0.2525
0.2425,0.2725,0.235,0.25
0.2425,0.275,0.235,0.2475
0.245,0.275,0.2325,0.2475
0.245,0.2725,0.2325,0.25
0.245,0.2725,0.2325,0.25
0.245,0.27,0.235,0.25
0.245,0.2675,0.235,0.2525
0.245,0.265,0.2375,0.2525
0.2475,0.265,0.2375,0.25
0.2475,0.265,0.24,0.2475
0.245,0.265,0.24,0.25
0.2425,0.2675,0.24,0.25
0.2425,0.2675,0.24,0.25
0.245,0.2675,0.24,0.2475
0.2475,0.2675,0.24,0.245
0.25,0.2675,0.2375,0.245
0.25,0.265,0.24,0.245
0.2475,0.265,0.2425,0.245
0.2475,0.2625,0.245,0.245
0.2475,0.26,0.2475,0.245
0.2475,0.2575,0.25,0.245
0.2475,0.2575,0.2475,0.2475
0.25,0.2575,0.245,0.2475
0.25,0.26,0.2425,0.2475
0.25,0.26,0.2425,0.2475
0.2475,0.2625,0.2425,0.2475
0.25,0.2625,0.24,0.2475
0.2475,0.265,0.24,0.2475
0.2475,0.265,0.2425,0.245
0.2475,0.2625,0.2425,0.2475
0.25,0.26,0.2425,0.2475
0.25,0.2575,0.245,0.2475
0.2475,0.2575,0.2475,0.2475
0.2475,0.255,0.2475,0.25
0.2475,0.2575,0.2475,0.2475
0.2475,0.2575,0.2475,0.2475
0.245,0.26,0.2475,0.2475
0.245,0.26,0.2475,0.2475
0.245,0.2625,0.2475,0.245
0.245,0.26,0.2475,0.2475
0.245,0.26,0.2475,0.2475
0.245,0.2575,0.25,0.2475
0.245,0.2575,0.25,0.2475
0.245,0.26,0.2475,0.2475
0.245,0.2625,0.245,0.2475
0.245,0.2625,0.245,0.2475
0.2425,0.2625,0.2475,0.2475
0.2425,0.2625,0.25,0.245
0.2425,0.2625,0.25,0.245
0.2425,0.26,0.2525,0.245
0.2425,0.26,0.25,0.2475
